INFO: 2021-06-09 14:16:51,944: -------------------------------
INFO: 2021-06-09 14:16:56,859: The rmse for GBR iteration 6: 0.850
INFO: 2021-06-09 14:16:56,860: -------------------------------
INFO: 2021-06-09 14:17:02,356: The rmse for GBR iteration 7: 0.826
INFO: 2021-06-09 14:17:02,356: -------------------------------
INFO: 2021-06-09 14:17:09,363: The rmse for GBR iteration 8: 0.850
INFO: 2021-06-09 14:17:09,364: -------------------------------
INFO: 2021-06-09 14:17:15,509: The rmse for GBR iteration 9: 0.858
INFO: 2021-06-09 14:17:15,510: -------------------------------
INFO: 2021-06-09 14:23:15,853: Train RF
INFO: 2021-06-09 14:23:27,086: The rmse for RF iteration 0: 0.916
INFO: 2021-06-09 14:23:27,087: -------------------------------
INFO: 2021-06-09 14:23:37,331: The rmse for RF iteration 1: 0.941
INFO: 2021-06-09 14:23:37,332: -------------------------------
INFO: 2021-06-09 14:23:47,851: The rmse for RF iteration 2: 0.889
INFO: 2021-06-09 14:23:47,851: -------------------------------
INFO: 2021-06-09 14:23:59,005: The rmse for RF iteration 3: 0.881
INFO: 2021-06-09 14:23:59,006: -------------------------------
INFO: 2021-06-09 14:24:10,204: The rmse for RF iteration 4: 0.929
INFO: 2021-06-09 14:24:10,205: -------------------------------
INFO: 2021-06-09 14:24:21,578: The rmse for RF iteration 5: 0.887
INFO: 2021-06-09 14:24:21,579: -------------------------------
INFO: 2021-06-09 14:24:34,290: The rmse for RF iteration 6: 0.910
INFO: 2021-06-09 14:24:34,291: -------------------------------
INFO: 2021-06-09 14:24:49,107: The rmse for RF iteration 7: 0.917
INFO: 2021-06-09 14:24:49,108: -------------------------------
INFO: 2021-06-09 14:25:03,546: The rmse for RF iteration 8: 0.930
INFO: 2021-06-09 14:25:03,546: -------------------------------
INFO: 2021-06-09 14:25:15,512: The rmse for RF iteration 9: 0.917
INFO: 2021-06-09 14:25:15,513: -------------------------------
INFO: 2021-06-09 14:26:57,868: Train RF with stopwords
INFO: 2021-06-09 14:27:07,828: The rmse for RF iteration 0: 0.917
INFO: 2021-06-09 14:27:07,829: -------------------------------
INFO: 2021-06-09 14:27:19,066: The rmse for RF iteration 1: 0.941
INFO: 2021-06-09 14:27:19,067: -------------------------------
INFO: 2021-06-09 14:27:30,118: The rmse for RF iteration 2: 0.890
INFO: 2021-06-09 14:27:30,119: -------------------------------
INFO: 2021-06-09 14:27:40,927: The rmse for RF iteration 3: 0.882
